"State","Region","Division","pop","DATE","Infected","Death"
"Alabama","South","East South Central",4887871,2020-12-31,361226,4827
"Alabama","South","East South Central",4887871,2020-12-30,356820,4774
"Alabama","South","East South Central",4887871,2020-12-29,351804,4736
"Alabama","South","East South Central",4887871,2020-12-28,347894,4709
"Alabama","South","East South Central",4887871,2020-12-27,345623,4688
"Alabama","South","East South Central",4887871,2020-12-26,343456,4682
"Alabama","South","East South Central",4887871,2020-12-25,342401,4677
"Alabama","South","East South Central",4887871,2020-12-24,338801,4673
"Alabama","South","East South Central",4887871,2020-12-23,334569,4585
"Alabama","South","East South Central",4887871,2020-12-22,329811,4451
"Alabama","South","East South Central",4887871,2020-12-21,324832,4388
"Alabama","South","East South Central",4887871,2020-12-20,322451,4388
"Alabama","South","East South Central",4887871,2020-12-19,319904,4388
"Alabama","South","East South Central",4887871,2020-12-18,315683,4295
"Alabama","South","East South Central",4887871,2020-12-17,310335,4252
"Alabama","South","East South Central",4887871,2020-12-16,305640,4196
"Alabama","South","East South Central",4887871,2020-12-15,301533,4122
"Alabama","South","East South Central",4887871,2020-12-14,297887,4097
"Alabama","South","East South Central",4887871,2020-12-13,295631,4097
"Alabama","South","East South Central",4887871,2020-12-12,292841,4097
"Alabama","South","East South Central",4887871,2020-12-11,288775,4077
"Alabama","South","East South Central",4887871,2020-12-10,284922,4027
"Alabama","South","East South Central",4887871,2020-12-09,280187,3980
"Alabama","South","East South Central",4887871,2020-12-08,276665,3936
"Alabama","South","East South Central",4887871,2020-12-07,272228,3887
"Alabama","South","East South Central",4887871,2020-12-06,269877,3884
"Alabama","South","East South Central",4887871,2020-12-05,267589,3872
"Alabama","South","East South Central",4887871,2020-12-04,264199,3827
"Alabama","South","East South Central",4887871,2020-12-03,260359,3772
"Alabama","South","East South Central",4887871,2020-12-02,256828,3707
"Alabama","South","East South Central",4887871,2020-12-01,252900,3633
"Alabama","South","East South Central",4887871,2020-11-30,249523,3574
"Alabama","South","East South Central",4887871,2020-11-29,247229,3573
"Alabama","South","East South Central",4887871,2020-11-28,244993,3568
"Alabama","South","East South Central",4887871,2020-11-27,242874,3568
"Alabama","South","East South Central",4887871,2020-11-26,241957,3568
"Alabama","South","East South Central",4887871,2020-11-25,239318,3528
"Alabama","South","East South Central",4887871,2020-11-24,236865,3468
"Alabama","South","East South Central",4887871,2020-11-23,234078,3455
"Alabama","South","East South Central",4887871,2020-11-22,232506,3453
"Alabama","South","East South Central",4887871,2020-11-21,230708,3453
"Alabama","South","East South Central",4887871,2020-11-20,228373,3444
"Alabama","South","East South Central",4887871,2020-11-19,225910,3411
"Alabama","South","East South Central",4887871,2020-11-18,223486,3342
"Alabama","South","East South Central",4887871,2020-11-17,220846,3296
"Alabama","South","East South Central",4887871,2020-11-16,219232,3247
"Alabama","South","East South Central",4887871,2020-11-15,217822,3246
"Alabama","South","East South Central",4887871,2020-11-14,215843,3244
"Alabama","South","East South Central",4887871,2020-11-13,213617,3229
"Alabama","South","East South Central",4887871,2020-11-12,210637,3209
"Alabama","South","East South Central",4887871,2020-11-11,208636,3197
"Alabama","South","East South Central",4887871,2020-11-10,206567,3116
"Alabama","South","East South Central",4887871,2020-11-09,204856,3080
"Alabama","South","East South Central",4887871,2020-11-08,203687,3080
"Alabama","South","East South Central",4887871,2020-11-07,202482,3079
"Alabama","South","East South Central",4887871,2020-11-06,200713,3046
"Alabama","South","East South Central",4887871,2020-11-05,199158,3021
"Alabama","South","East South Central",4887871,2020-11-04,197777,3001
"Alabama","South","East South Central",4887871,2020-11-03,195929,2983
"Alabama","South","East South Central",4887871,2020-11-02,194885,2970
"Alabama","South","East South Central",4887871,2020-11-01,193983,2970
"Alabama","South","East South Central",4887871,2020-10-31,192285,2964
"Alabama","South","East South Central",4887871,2020-10-30,190496,2930
"Alabama","South","East South Central",4887871,2020-10-29,189149,2911
"Alabama","South","East South Central",4887871,2020-10-28,187705,2909
"Alabama","South","East South Central",4887871,2020-10-27,186436,2890
"Alabama","South","East South Central",4887871,2020-10-26,185320,2863
"Alabama","South","East South Central",4887871,2020-10-25,184355,2863
"Alabama","South","East South Central",4887871,2020-10-24,183276,2863
"Alabama","South","East South Central",4887871,2020-10-23,180916,2855
"Alabama","South","East South Central",4887871,2020-10-22,177064,2840
"Alabama","South","East South Central",4887871,2020-10-21,175673,2826
"Alabama","South","East South Central",4887871,2020-10-20,174527,2803
"Alabama","South","East South Central",4887871,2020-10-19,173483,2787
"Alabama","South","East South Central",4887871,2020-10-18,172626,2786
"Alabama","South","East South Central",4887871,2020-10-17,171662,2786
"Alabama","South","East South Central",4887871,2020-10-16,170373,2784
"Alabama","South","East South Central",4887871,2020-10-15,169161,2754
"Alabama","South","East South Central",4887871,2020-10-14,167975,2706
"Alabama","South","East South Central",4887871,2020-10-13,167188,2665
"Alabama","South","East South Central",4887871,2020-10-12,166076,2665
"Alabama","South","East South Central",4887871,2020-10-11,165342,2664
"Alabama","South","East South Central",4887871,2020-10-10,164525,2664
"Alabama","South","East South Central",4887871,2020-10-09,163464,2652
"Alabama","South","East South Central",4887871,2020-10-08,161975,2636
"Alabama","South","East South Central",4887871,2020-10-07,161415,2601
"Alabama","South","East South Central",4887871,2020-10-06,160476,2580
"Alabama","South","East South Central",4887871,2020-10-05,159713,2558
"Alabama","South","East South Central",4887871,2020-10-04,159169,2557
"Alabama","South","East South Central",4887871,2020-10-03,158380,2557
"Alabama","South","East South Central",4887871,2020-10-02,156698,2549
"Alabama","South","East South Central",4887871,2020-10-01,155744,2541
"Alabama","South","East South Central",4887871,2020-09-30,154699,2530
"Alabama","South","East South Central",4887871,2020-09-29,153550,2511
"Alabama","South","East South Central",4887871,2020-09-28,152976,2496
"Alabama","South","East South Central",4887871,2020-09-27,152317,2496
"Alabama","South","East South Central",4887871,2020-09-26,151587,2495
"Alabama","South","East South Central",4887871,2020-09-25,150650,2483
"Alabama","South","East South Central",4887871,2020-09-24,148205,2473
"Alabama","South","East South Central",4887871,2020-09-23,147153,2463
"Alabama","South","East South Central",4887871,2020-09-22,146578,2436
"Alabama","South","East South Central",4887871,2020-09-21,145776,2421
"Alabama","South","East South Central",4887871,2020-09-20,144960,2419
"Alabama","South","East South Central",4887871,2020-09-19,144164,2419
"Alabama","South","East South Central",4887871,2020-09-18,142861,2413
"Alabama","South","East South Central",4887871,2020-09-17,141756,2390
"Alabama","South","East South Central",4887871,2020-09-16,141081,2384
"Alabama","South","East South Central",4887871,2020-09-15,140156,2378
"Alabama","South","East South Central",4887871,2020-09-14,139454,2345
"Alabama","South","East South Central",4887871,2020-09-13,138753,2342
"Alabama","South","East South Central",4887871,2020-09-12,137646,2341
"Alabama","South","East South Central",4887871,2020-09-11,136703,2325
"Alabama","South","East South Central",4887871,2020-09-10,135565,2297
"Alabama","South","East South Central",4887871,2020-09-09,134416,2277
"Alabama","South","East South Central",4887871,2020-09-08,133605,2270
"Alabama","South","East South Central",4887871,2020-09-07,132972,2269
"Alabama","South","East South Central",4887871,2020-09-06,132313,2269
